subtype,description,question,scope,measurement_best_time,measurement_frequency,target_min,target_max
AcumulatedPerception,Estres,Me senti significativamente estresado hoy?,V100,Night,1,,0
AcumulatedPerception,Emocion,Estoy emocionado por este dia que estoy a punto de vivir?,V200,Morning,1,,0
AcumulatedPerception,Cansancio,Me  siento cansado?,V400,Morning,1,,0
RealitySnapshot,Peso (kg),Cuanto peso?,V400,Morning,7,0,
RealitySnapshot,Grasa corporal (%),Cual es mi porcentaje de grasa corporal?,V400,Morning,7,0,
RealitySnapshot,Tiempo para correr una milla,Que tan rapido puedo correr una milla?,V400,Morning,30,0,
RealitySnapshot,Lagartijas consecutivas,Cuantas lagartijas consecutivas puedo hacer?,V400,Morning,30,0,
AcumulatedPerception,Calidad de mi relacion,Me gustaria pasar el resto de mi vida con mi pareja si se fuera a comportar todos los dias igual que como se comporto hoy?,V500,Night,1,0,
AcumulatedPerception,Daily learning,Aprendiste algo nuevo e importante hoy?,V600,Night,1,0,
RealitySnapshot,Activos (USD),Cuanto valen tus activos?,V900,Morning,180,0,
RealitySnapshot,Ingresos (USD),Cuanto dinero ganaste en el ultimo mes?,V900,Morning,30,0,
