value_type,description,next_event
V800,Confirmar que ya quedo cancelado el Seguro contra transaccciones Ilegitimas (Poliza 00096959) y que ya me hicieron el rembolso de como 100 pesos (folio de cancelacion: 3730108),735964
V800,Decidir si quiero volver a pagar la suscripcion de Office por otro anno<> sino<> cancelar,736055
V800,Contratar una licencia de antivirus para la computadora,736064
V800,Checar que no me vayan a cobrar renovacion automatica de condesastore.com,736269
V800,Escribirle a Alex Mann Para darle seguimiento a la posibilidad de que vaya a trabajar a Inglaterra a Pronto -- Entender un poco el tema de la visa,735993
V500,Escribirle a points<> creo que deberia de entrar en la lista,735993
V200,Escribele a Bolio -- para  echar el cafe con el y entender su perspectiva respecto al proposito de la vida,735993
V200,Ir con gaby a ihop la prixima vez que nos toque desayuno,736008
V000,Jugar Age Of Empires II  - Practica,735993
V200,Coordinar para jugar AoEII con Tenopala,736008
